code,name,score,status,title,keywords,url
"01397","留寿都村","","200","空き家バンク情報（物件番号2015（辻アパート））","移住|空き家","https://www.vill.rusutsu.lg.jp/hotnews/detail/00002954.html"
"01397","留寿都村","","200","【発火の恐れ】ダイソンのコードレス掃除機用「非純正」バッテリーパックを廃棄する前に","事業者|福祉","https://www.vill.rusutsu.lg.jp/hotnews/detail/00002992.html"
"01397","留寿都村","","200","空き家バンク情報（物件番号2016（藤川アパート））","移住|空き家","https://www.vill.rusutsu.lg.jp/hotnews/detail/00003006.html"
"01397","留寿都村","","200","留寿都村起業等支援事業について","補助金|移住|創業|起業","https://www.vill.rusutsu.lg.jp/hotnews/detail/00003148.html"
"01397","留寿都村","","200","留寿都村と童謡「赤い靴」との関わり","移住|農業","https://www.vill.rusutsu.lg.jp/hotnews/detail/00003581.html"
"01397","留寿都村","","200","企業版ふるさと納税のお知らせ","住宅|空き家|事業者|農業|子育て|就学|妊婦","https://www.vill.rusutsu.lg.jp/hotnews/detail/00003761.html"
"01397","留寿都村","","200","村営住宅入居者募集のお知らせ","住宅","https://www.vill.rusutsu.lg.jp/hotnews/detail/00003768.html"
"01397","留寿都村","","200","留寿都村移住定住支援事業について","補助金|貸付|移住|住宅|空き家","https://www.vill.rusutsu.lg.jp/hotnews/detail/00003775.html"
"01397","留寿都村","","200","中小企業等経営強化法に基づく導入促進基本計画","移住|起業","https://www.vill.rusutsu.lg.jp/hotnews/detail/00003803.html"
"01397","留寿都村","","200","第１次産業分野における職員の兼業の促進について","移住|農業|林業","https://www.vill.rusutsu.lg.jp/hotnews/detail/00003844.html"
"01397","留寿都村","","200","森林の土地の相続登記申請が義務化されます","移住|農業|林業","https://www.vill.rusutsu.lg.jp/hotnews/detail/00003931.html"
"01397","留寿都村","","200","国民健康保険税の軽減等について","減免|免除|子育て|就学","https://www.vill.rusutsu.lg.jp/hotnews/detail/00003979.html"
"01397","留寿都村","","200","令和6年度分個人住民税（村民税・道民税）に対する定額減税について","給付金|住宅","https://www.vill.rusutsu.lg.jp/hotnews/detail/00004062.html"
"01397","留寿都村","","200","留寿都村地域おこし協力隊の隊員を募集します","農業|福祉","https://www.vill.rusutsu.lg.jp/hotnews/detail/00004076.html"
"01397","留寿都村","","200","令和６年度留寿都村定額減税補足給付金（調整給付）について","給付金","https://www.vill.rusutsu.lg.jp/hotnews/detail/00004101.html"
"01397","留寿都村","","200","羊蹄山麓季節労働者通年雇用促進協議会","移住|起業","https://www.vill.rusutsu.lg.jp/hotnews/detail/00004135.html"
"01397","留寿都村","","200","宿泊税の導入に向けた検討について","補助金|住宅|事業者","https://www.vill.rusutsu.lg.jp/hotnews/detail/00004142.html"
"01397","留寿都村","","200","森林環境譲与税の使途公表について","移住|農業|林業","https://www.vill.rusutsu.lg.jp/hotnews/detail/00004203.html"
"01397","留寿都村","","200","留寿都村地域計画の策定に係る案の告示・縦覧について","移住|農業|林業","https://www.vill.rusutsu.lg.jp/hotnews/detail/00004211.html"
"01397","留寿都村","","200","村税等の納期","住宅|福祉","https://www.vill.rusutsu.lg.jp/hotnews/detail/00004230.html"
"01397","留寿都村","","200","伐採届出制度について","移住|農業|林業","https://www.vill.rusutsu.lg.jp/hotnews/detail/00004255.html"
"01397","留寿都村","","200","留寿都村宿泊税の導入について","免除|住宅|事業者","https://www.vill.rusutsu.lg.jp/hotnews/detail/00004263.html"
"01397","留寿都村","","200","森林の土地の所有者届出制度について","移住|農業|林業","https://www.vill.rusutsu.lg.jp/hotnews/detail/00004279.html"
"01397","留寿都村","","200","留寿都村宿泊税における特別徴収に係る事業者説明会の開催について","住宅|事業者","https://www.vill.rusutsu.lg.jp/hotnews/detail/00004347.html"
"01397","留寿都村","","200","留寿都村とステラーグリーンが、J-クレジットに係る連携協定を締結","移住|農業|林業","https://www.vill.rusutsu.lg.jp/hotnews/detail/00004360.html"
"01397","留寿都村","","200","留寿都村におけるJ-クレジット制度へのプロジェクト登録申請に関するお知らせ","移住|農業|林業","https://www.vill.rusutsu.lg.jp/hotnews/detail/00004362.html"
"01397","留寿都村","","200","ほ場の表土流亡に係る対策について","移住|農業|林業","https://www.vill.rusutsu.lg.jp/hotnews/detail/00004365.html"
"01397","留寿都村","","200","議会議員の活動状況について","起業|農業|福祉","https://www.vill.rusutsu.lg.jp/hotnews/detail/00004369.html"
"01397","留寿都村","","200","空き家バンク情報（物件番号3002）","移住|空き家","https://www.vill.rusutsu.lg.jp/hotnews/detail/00004375.html"
"01397","留寿都村","","200","有害鳥獣による被害調査結果について（令和7年度分）","移住|農業|林業","https://www.vill.rusutsu.lg.jp/hotnews/detail/00004425.html"
"01397","留寿都村","","200","留寿都村宿泊税宿泊事業者及び納税管理人の登録について","免除|住宅|事業者","https://www.vill.rusutsu.lg.jp/hotnews/detail/00004458.html"
