municipalityCode,municipalityName,score,status,title,keywordHits,sourceUrl
"01361","江差町","2","200","まちの情報","空家","https://www.hokkaido-esashi.jp/modules/towninfo/"
"01362","上ノ国町","5","200","","補助金|助成金|給付金|奨励金|貸付|医療費助成|移住|住宅|空き家|空家|起業|事業者|農業|林業|水産|福祉|子育て|就学|予防接種|不妊|通学","https://www.town.kaminokuni.lg.jp/hotnews/sitemap/"
"01362","上ノ国町","3","200","","給付金|医療費助成|林業|福祉|子育て|予防接種","https://www.town.kaminokuni.lg.jp/hotnews/lifeevent/3.html"
"01362","上ノ国町","2","200","","医療費助成|住宅|農業|林業|水産|福祉|就学","https://www.town.kaminokuni.lg.jp/hotnews/group/"
"01362","上ノ国町","2","200","","助成金|貸付|住宅|福祉|子育て","https://www.town.kaminokuni.lg.jp/hotnews/lifeevent/1.html"
"01362","上ノ国町","2","200","","医療費助成|福祉|子育て|予防接種","https://www.town.kaminokuni.lg.jp/hotnews/lifeevent/4.html"
"01362","上ノ国町","2","200","","予防接種|不妊","https://www.town.kaminokuni.lg.jp/hotnews/detail/00003558.html"
"01363","厚沢部町","4","200","子育て","支援金|移住|子育て|予防接種","https://www.town.assabu.lg.jp/life/1/9/"
"01363","厚沢部町","3","200","くらし・手続き","給付金|住宅|福祉|子育て|予防接種","https://www.town.assabu.lg.jp/life/1/"
"01363","厚沢部町","3","200","奨学資金制度","給付金|貸付|免除","https://www.town.assabu.lg.jp/site/gakkokyoiku/8662.html"
"01363","厚沢部町","3","200","届出・証明","支援金|移住","https://www.town.assabu.lg.jp/life/1/1/"
"01363","厚沢部町","3","200","医療・健康","予防接種|妊婦","https://www.town.assabu.lg.jp/life/1/7/"
"01363","厚沢部町","3","200","妊娠・出産","不妊|妊婦","https://www.town.assabu.lg.jp/life/1/48/210/"
"01363","厚沢部町","3","200","引越し","支援金|移住","https://www.town.assabu.lg.jp/life/1/48/213/"
"01363","厚沢部町","2","200","町政情報","移住","https://www.town.assabu.lg.jp/life/4/"
