municipalityCode,municipalityName,score,priority,label,url,snippet
"21521","御嵩町","20","low","施策","https://www.town.mitake.lg.jp/portal/town/measure/",""
"21521","御嵩町","20","low","環境情報","https://www.town.mitake.lg.jp/portal/town/environmental-information/",""
"21521","御嵩町","20","low","御嵩町の紹介","https://www.town.mitake.lg.jp/portal/mitake-introduction/",""
"21521","御嵩町","20","low","庁舎のご案内","https://www.town.mitake.lg.jp/government-building/",""
"21521","御嵩町","20","low","ふるさとみたけ応援寄附金","https://www.town.mitake.lg.jp/portal/life-process/tax-insurance-pension/furusato-mitake-support-donation/",""
"21521","御嵩町","20","low","御嵩町制７０周年記念サイト","https://www.town.mitake.lg.jp/event/%E5%BE%A1%E5%B5%A9%E7%94%BA%E7%94%BA%E5%88%B6%EF%BC%97%EF%BC%90%E5%91%A8%E5%B9%B4%E8%A8%98%E5%BF%B5%E3%82%B5%E3%82%A4%E3%83%88/",""
"21521","御嵩町","20","low","御嵩町からのお知らせ","https://www.town.mitake.lg.jp/news/",""
"21521","御嵩町","20","low","御嵩町からのお知らせ","https://www.town.mitake.lg.jp/news/2026/",""
"21521","御嵩町","20","low","御嵩町からのお知らせ","https://www.town.mitake.lg.jp/news/2025/",""
"21521","御嵩町","20","low","御嵩町からのお知らせ","https://www.town.mitake.lg.jp/news/2024/",""
"21521","御嵩町","20","low","御嵩町からのお知らせ","https://www.town.mitake.lg.jp/news/2023/",""
"21521","御嵩町","20","low","御嵩町からのお知らせ","https://www.town.mitake.lg.jp/news/2022/",""
"21521","御嵩町","20","low","御嵩町からのお知らせ","https://www.town.mitake.lg.jp/news/2021/",""
"21521","御嵩町","20","low","御嵩町からのお知らせ","https://www.town.mitake.lg.jp/news/2020/",""
"21521","御嵩町","20","low","くらし・町政TOP | 御嵩町","https://www.town.mitake.lg.jp/living/",""
"21521","御嵩町","20","low","【休日・夜間の急病】小児救急電話相談窓口","https://www.town.mitake.lg.jp/portal/health-welfare/health-medical/holiday-night-treatment/post0008203/",""
"21521","御嵩町","20","low","【休日・夜間の急病】休日歯科診療当番表","https://www.town.mitake.lg.jp/portal/health-welfare/health-medical/holiday-night-treatment/post0008291/",""
"21521","御嵩町","20","low","防災・防犯・消防（火災）情報のメール配信","https://www.town.mitake.lg.jp/portal/life-process/disaster-prevention/disaster-prevention-guide/post0004959/",""
"21521","御嵩町","20","low","御嵩町からのお知らせ","https://www.town.mitake.lg.jp/news/news0101395/",""
"21521","御嵩町","20","low","公共交通リスタートプロジェクトミーティング","https://www.town.mitake.lg.jp/portal/life-process/land-park-road-traffic/traffic/post0106673/",""
"21521","御嵩町","20","low","御嵩町からのお知らせ","https://www.town.mitake.lg.jp/news/news0103161/",""
