id	rescore	score	organization	title	url	snippet
40	52	25	えびの市	小中学校の就学援助について	https://www.city.ebino.lg.jp/kosodate_kyoiku/kyoiku/gakko_kyoiku/josei_shien_shorei/2193.html	小中学校の就学援助について／えびの市 本文へ 文字サイズ 背景色変更 Foreign Language 災害情報 ハザードマップ 日曜在宅医 くらし・手続き 住まい・環境 健康・福祉 子育て・教育 産業・ビジネス 観光・文化 ・スポーツ 行政・市政 災害情報 ハザードマップ 日曜在宅医 くらし・手続き 住まい・環境・安全 健康・福祉 子育て・教育 産業・ビジネス 観光・文化・スポーツ 行政・市政 文字サイズ変更 背景色変更 Foreign Language PC版で見る スマ
50	47	20	えびの市	【宮崎県 地域の魅力再発見支援事業】えびの時空散走2025秋を開催しました	https://www.city.ebino.lg.jp/kanko/event/6903.html	【宮崎県 地域の魅力再発見支援事業】えびの時空散走2025秋を開催しました／えびの市 スマートフォン版を表示 本文へ 閉じる ホーム えびの市のみどころ グルメ・特産品 温泉・宿泊 エリアで情報をさがす Foreign Language えびの市ホームページ 文字サイズ 背景色変更 閉じる 現在の位置 ホーム 観光サイト イベント情報 【宮崎県 地域の魅力再発見支援事業】えびの時空散走2025秋を開催しました 【宮崎県 地域の魅力再発見支援事業】えびの時空散走2025秋を開催
58	44	32	えびの市	助成・支援	https://www.city.ebino.lg.jp/kanko/iju_teiju/josei_shien/index.html	助成・支援／えびの市 スマートフォン版を表示 本文へ 閉じる ホーム えびの市のみどころ グルメ・特産品 温泉・宿泊 エリアで情報をさがす Foreign Language えびの市ホームページ 文字サイズ 背景色変更 閉じる 現在の位置 ホーム 観光サイト 移住・定住 助成・支援 助成・支援 子育て支援 教育支援 お試し滞在助成金 えびの市移住・定住支援センターを開設しました えびの市の主な移住・定住支援策について 移住ガイドブック 若者定住促進奨学金返還補助金について 移
59	44	17	えびの市	学力向上等支援事業(飯野高等学校)	https://www.city.ebino.lg.jp/kosodate_kyoiku/kyoiku/gakko_kyoiku/gakkokyoiku/2505.html	学力向上等支援事業(飯野高等学校)／えびの市 本文へ 文字サイズ 背景色変更 Foreign Language 災害情報 ハザードマップ 日曜在宅医 くらし・手続き 住まい・環境 健康・福祉 子育て・教育 産業・ビジネス 観光・文化 ・スポーツ 行政・市政 災害情報 ハザードマップ 日曜在宅医 くらし・手続き 住まい・環境・安全 健康・福祉 子育て・教育 産業・ビジネス 観光・文化・スポーツ 行政・市政 文字サイズ変更 背景色変更 Foreign Language PC版で見
162	71	30	串間市	結婚新生活支援事業について（令和８年度受付開始）	https://www.city.kushima.lg.jp/main/city/cat3183/7.html	くらし - 宮崎県串間市 音声読み上げ 文字拡大 配色反転 サイト内検索： 総合メニュー くらし 安全と安心 健康と福祉 事業者の方へ 市政 串間を楽しむ ふるさと納税 総合メニュー くらし 安全と安心 健康と福祉 事業者の方へ 市政 串間を楽しむ ふるさと納税 ホーム > くらし > お知らせ > 結婚新生活支援事業について（令和８年度受付開始） 結婚新生活支援事業について（令和８年度受付開始） 串間市では、結婚に伴い新生活をはじめる夫婦を応援するため、串間市結婚新生活支援
163	68	42	串間市	新型コロナウイルス感染症緊急対策利子補給補助金のお知らせ	https://www.city.kushima.lg.jp/main/safety/cat2/cat2/post-265.html	安全と安心 - 宮崎県串間市 音声読み上げ 文字拡大 配色反転 サイト内検索： 総合メニュー くらし 安全と安心 健康と福祉 事業者の方へ 市政 串間を楽しむ ふるさと納税 総合メニュー くらし 安全と安心 健康と福祉 事業者の方へ 市政 串間を楽しむ ふるさと納税 ホーム > 安全と安心 > 新型コロナウイルス対策 > 生活支援・経済対策 > 新型コロナウイルス感染症緊急対策利子補給補助金のお知らせ 新型コロナウイルス感染症緊急対策利子補給補助金のお知らせ 新型コロナウイル
164	68	42	串間市	母子及び父子家庭等医療費助成制度	https://www.city.kushima.lg.jp/main/health/child/cat1/cat2/post-62.html	健康・福祉 - 宮崎県串間市 音声読み上げ 文字拡大 配色反転 サイト内検索： 総合メニュー くらし 安全と安心 健康と福祉 事業者の方へ 市政 串間を楽しむ ふるさと納税 総合メニュー くらし 安全と安心 健康と福祉 事業者の方へ 市政 串間を楽しむ ふるさと納税 ホーム > 健康・福祉 > 子育て > 子育て支援 > 手当・助成 > 母子及び父子家庭等医療費助成制度 母子及び父子家庭等医療費助成制度 母子及び父子家庭等医療費助成制度の内容 母子及び父子家庭等の医療費の一部
165	68	42	串間市	児童手当	https://www.city.kushima.lg.jp/main/health/child/cat1/cat2/post-152.html	健康・福祉 - 宮崎県串間市 音声読み上げ 文字拡大 配色反転 サイト内検索： 総合メニュー くらし 安全と安心 健康と福祉 事業者の方へ 市政 串間を楽しむ ふるさと納税 総合メニュー くらし 安全と安心 健康と福祉 事業者の方へ 市政 串間を楽しむ ふるさと納税 ホーム > 健康・福祉 > 子育て > 子育て支援 > 手当・助成 > 児童手当 児童手当 児童手当とは？ 児童手当は、父母その他の保護者が子育てについての第一義的責任を有するという基本的認識の下に、児童を養育し
166	66	40	串間市	子ども医療費について	https://www.city.kushima.lg.jp/main/health/child/cat1/cat2/post-354.html	健康・福祉 - 宮崎県串間市 音声読み上げ 文字拡大 配色反転 サイト内検索： 総合メニュー くらし 安全と安心 健康と福祉 事業者の方へ 市政 串間を楽しむ ふるさと納税 総合メニュー くらし 安全と安心 健康と福祉 事業者の方へ 市政 串間を楽しむ ふるさと納税 ホーム > 健康・福祉 > 子育て > 子育て支援 > 手当・助成 > 子ども医療費について 子ども医療費について 助成内容 入院および外来の医療費で保険診療の自己負担分 なお、保険適用外の費用（例えば、健康診断
167	64	30	串間市	手当・助成	https://www.city.kushima.lg.jp/main/city/condolenc/	くらし - 宮崎県串間市 音声読み上げ 文字拡大 配色反転 サイト内検索： 総合メニュー くらし 安全と安心 健康と福祉 事業者の方へ 市政 串間を楽しむ ふるさと納税 総合メニュー くらし 安全と安心 健康と福祉 事業者の方へ 市政 串間を楽しむ ふるさと納税 ホーム > くらし > 手当・助成 > 手当・助成 定額減税補足給付金（不足額給付）のお知らせ 串間市低所得世帯支援金（住民税均等割のみ課税世帯分10万円/1世帯）のご案内 串間市低所得世帯支援金【子ども加算分（5万
169	63	33	串間市	令和２年度新型コロナウイルス感染症に伴う助成金・給付金等のご紹介	https://www.city.kushima.lg.jp/main/safety/cat2/cat2/post-505.html	安全と安心 - 宮崎県串間市 音声読み上げ 文字拡大 配色反転 サイト内検索： 総合メニュー くらし 安全と安心 健康と福祉 事業者の方へ 市政 串間を楽しむ ふるさと納税 総合メニュー くらし 安全と安心 健康と福祉 事業者の方へ 市政 串間を楽しむ ふるさと納税 ホーム > 安全と安心 > 新型コロナウイルス対策 > 生活支援・経済対策 > 令和２年度新型コロナウイルス感染症に伴う助成金・給付金等のご紹介 令和２年度新型コロナウイルス感染症に伴う助成金・給付金等のご紹介
